airbnb_listing_id,occ,rev_window,adr,nights,number_of_bedrooms,number_of_guests,listing_type,number_of_reviews,star_rating,is_professional,cleaning_fee,picture_count,min_nights,number_of_bathrooms,is_guest_favorite,can_instant_book,suburb,micro_zone,dist_beach_km,comp_300m,comp_1km,rev_annual_gross,occ_paid,bed_bucket,am_crib,am_workspace,am_pool,am_grill,am_gym,am_elevator,am_beach,am_seaview,am_spa,am_parking,am_dishwasher,tx_family,tx_couple,tx_group,tx_biz,tx_long,tx_luxury,tx_seafront,pets_ok,guests,bedrooms,beds,baths,beds_per_bed,guests_per_bed,cleaning_fee_c,price_wd,price_we,weekend_price_premium,occ_wd,occ_we,weekend_occ_lift,occ_high,occ_low,season_concentration,segment
37118794,0.8389261823360564,96217.45654651876,1081.042494598593,105,3,6,apartamento,6,5.0,False,350.0,13,0,2.0,False,False,Meia Praia,Meia Praia (beach band),0.1271955918244807,329,1410,192659.47818736,0.7550335641024508,3,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,6,3,4,2.0,1.3333333333333333,2.0,350.0,1000.0,1000.0,0.0,1.0,1.0,0.0,,0.0,,Alto padrão e frente-mar
37153670,0.8332480592604609,38394.79313483708,434.15451115222726,105,3,8,apartamento,25,4.920000076293945,False,200.0,27,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.1742408201249322,316,1332,76879.1971433273,0.7499232533344148,3,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,8,3,5,2.0,1.6666666666666667,2.6666666666666665,200.0,400.0,400.0,0.0,0.4444444444444444,0.75,0.3055555555555556,0.7857142857142857,0.027027027027026973,0.7586872586872587,Grupos e amigos
37347085,0.2328985420153078,13195.716272001777,508.4203103140634,105,3,6,apartamento,41,4.710000038146973,False,250.0,24,0,2.0,False,True,Meia Praia,Meia Praia (beach band),0.111944940924196,158,626,26422.23046130084,0.209608687813777,3,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,6,3,5,2.0,1.6666666666666667,2.0,250.0,492.0,492.0,0.0,0.5925925925925926,0.75,0.15740740740740744,0.5357142857142857,0.0,0.5357142857142857,Famílias
37487828,0.9166683144613452,46166.95510333384,477.14931389989226,105,3,8,apartamento,96,4.980000019073486,False,250.0,31,0,2.0,True,False,Meia Praia,Meia Praia (inland),0.5606095303529639,293,1746,92441.66078540336,0.8250014830152107,3,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,8,3,6,2.0,2.0,2.6666666666666665,250.0,350.0,400.0,0.1428571428571428,0.8518518518518519,0.8333333333333334,-0.01851851851851849,0.8214285714285714,0.027027027027026973,0.7944015444015444,Grupos e amigos
37494985,0.4363073680630356,44004.3802829643,921.8778340795913,105,3,6,apartamento,22,4.639999866485596,False,350.0,22,0,3.0,False,False,Meia Praia,Meia Praia (beach band),0.0336053066590535,255,1249,88111.46383998645,0.3926766312567321,3,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,6,3,8,3.0,2.6666666666666665,2.0,350.0,900.0,900.0,0.0,0.8148148148148149,0.5833333333333333,-0.23148148148148162,0.75,0.0,0.75,Famílias
37708447,0.9357879473627332,80198.05640818551,812.9300691815771,105,3,10,apartamento,95,4.989999771118164,False,300.0,69,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.0086879924276593,214,1134,160583.2897045179,0.84220915262646,3,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,10,3,6,2.0,2.0,3.3333333333333335,300.0,700.0,700.0,0.0,1.0,1.0,0.0,,0.21621621621621623,,Alto padrão e frente-mar
37744392,0.362342256206721,28539.529263135468,715.2789098985902,105,3,6,apartamento,10,5.0,False,100.0,20,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.3177779871042739,441,1930,57145.66787462547,0.326108030586049,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,3,3,2.0,1.0,2.0,100.0,665.0,700.0,0.05263157894736836,0.7777777777777778,1.0,0.2222222222222222,0.4642857142857143,0.3513513513513513,0.11293436293436299,Famílias
37989675,0.7181610400051877,35286.29739460721,459.2339120037293,105,2,6,apartamento,20,4.849999904632568,False,300.0,13,0,2.0,False,False,Meia Praia,Meia Praia (beach band),0.1649114430658938,337,1509,70654.9506421659,0.6463449360046689,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,2,2,2.0,1.0,3.0,300.0,400.0,400.0,0.0,0.8888888888888888,1.0,0.11111111111111116,0.9642857142857143,0.0,0.9642857142857143,Famílias
38262480,0.959092690835414,123416.63129220872,1222.4187857161862,105,4,8,apartamento,45,4.869999885559082,False,250.0,34,0,3.0,True,True,Meia Praia,Meia Praia (beach band),0.0569900750702977,187,1006,247121.30872949192,0.8631834217518727,4,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,8,4,5,3.0,1.25,2.0,250.0,1200.0,1200.0,0.0,1.0,1.0,0.0,0.8928571428571429,,,Alto padrão e frente-mar
38319706,0.5428667370218169,34192.11166489432,580.8451542944048,105,3,7,apartamento,40,5.0,False,350.0,29,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.2791358648562414,156,973,68464.02542658798,0.4885800633196352,3,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,7,3,6,2.0,2.0,2.3333333333333335,350.0,590.0,590.0,0.0,0.7777777777777778,0.8333333333333334,0.05555555555555558,0.75,0.0,0.75,Famílias
38447436,0.0546529037801162,6170.132783551367,996.0346807091696,105,3,7,apartamento,19,4.840000152587891,True,350.0,26,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.0301684830957701,254,1345,12354.666243448304,0.0491876134021045,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,7,3,5,2.0,1.6666666666666667,2.3333333333333335,350.0,1127.0,1127.0,0.0,0.18518518518518523,0.0,-0.18518518518518523,0.1428571428571429,0.0,0.1428571428571429,Famílias
38514587,0.1790558559314542,17860.871529333435,890.5252791545241,105,4,7,apartamento,9,5.0,False,300.0,16,0,3.0,False,False,Meia Praia,Meia Praia (inland),0.3963261239991215,231,1444,35763.42913563906,0.1611502703383087,4,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,7,4,4,3.0,1.0,1.75,300.0,874.6667,871.0,-0.004192111120727482,0.5555555555555556,0.6666666666666667,0.11111111111111116,0.4642857142857143,0.0,0.4642857142857143,Famílias
38616586,0.912720602805724,40152.467710727055,416.6766976495329,105,3,8,apartamento,7,5.0,False,300.0,19,0,2.0,False,False,Meia Praia,Meia Praia (beach band),0.3065804597029894,384,1613,80398.64858975408,0.8214485425251515,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8,3,3,2.0,1.0,2.6666666666666665,300.0,367.0,367.0,0.0,1.0,1.0,0.0,,0.3783783783783784,,Grupos e amigos
38638326,0.6194281960088356,45716.54335955891,684.7476445489938,105,3,6,apartamento,106,4.980000019073486,False,300.0,33,0,3.0,True,False,Meia Praia,Meia Praia (inland),0.586729092635027,263,1824,91539.7860670337,0.557485376407952,3,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,6,3,4,3.0,1.3333333333333333,2.0,300.0,670.6667,675.0,0.0064611825814522295,0.9259259259259259,0.8333333333333334,-0.09259259259259256,0.6428571428571428,0.0,0.6428571428571428,Famílias
38693604,0.7813712499336898,52864.814711553285,635.1984742505822,105,3,8,apartamento,20,4.849999904632568,False,300.0,17,0,2.0,True,True,Meia Praia,Meia Praia (beach band),0.1809576190760809,340,1679,105853.01235722416,0.7032341249403208,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8,3,7,2.0,2.3333333333333335,2.6666666666666665,300.0,650.0,650.0,0.0,0.9259259259259259,1.0,0.07407407407407407,0.7142857142857143,0.0,0.7142857142857143,Grupos e amigos
38695314,0.8417660224962298,53971.866965957,604.4657214849643,105,3,9,apartamento,62,4.849999904632568,False,200.0,20,0,3.0,True,False,Meia Praia,Meia Praia (inland),0.6354746082284007,211,1421,108069.70065178991,0.7575894202466068,3,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,9,3,5,3.0,1.6666666666666667,3.0,200.0,380.0,600.0,0.5789473684210527,0.7407407407407407,1.0,0.2592592592592593,0.6785714285714286,0.0,0.6785714285714286,Grupos e amigos
38730549,0.6531789108429824,59984.50129166383,854.2233023619696,105,3,8,apartamento,37,4.96999979019165,True,300.0,58,0,3.0,True,False,Meia Praia,Meia Praia (inland),0.536263152971192,209,1625,120109.00238870535,0.5878610197586842,3,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,8,3,3,3.0,1.0,2.6666666666666665,300.0,767.0,767.0,0.0,0.8518518518518519,0.8333333333333334,-0.01851851851851849,0.7857142857142857,0.0,0.7857142857142857,Grupos e amigos
38800430,0.9572422241991434,41428.628205000954,411.0882772317234,105,3,7,apartamento,53,4.980000019073486,False,150.0,40,0,2.0,True,True,Meia Praia,Meia Praia (inland),0.405749360846088,327,1956,82953.94805135712,0.8615180017792291,3,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,7,3,5,2.0,1.6666666666666667,2.3333333333333335,150.0,350.0,480.0,0.37142857142857144,1.0,1.0,0.0,,0.5405405405405406,,Famílias
38852725,0.8141732046155119,47762.92136892164,552.0233294296905,105,3,8,apartamento,44,4.980000019073486,False,200.0,25,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.1795149855552117,376,1836,95637.31819486852,0.7327558841539608,3,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,8,3,5,2.0,1.6666666666666667,2.6666666666666665,200.0,450.0,450.0,0.0,0.8148148148148149,0.8333333333333334,0.01851851851851849,0.75,0.0,0.75,Grupos e amigos
