airbnb_listing_id,latitude,longitude,suburb,country,state,city,aquisition_date,dist_beach_km,comp_300m,comp_1km,micro_zone
1075961351792144902,-27.1197342,-48.6081373,Meia Praia,Brasil,Santa Catarina,Itapema,2024-12-19 17:34:59.892,0.1771425142160452,237,1093,Meia Praia (beach band)
1071056510814014044,-27.131045476894865,-48.60416974872351,Meia Praia,Brasil,Santa Catarina,Itapema,2024-12-19 17:34:59.892,0.5043879377901819,321,1873,Meia Praia (inland)
956398979498945273,-27.12121,-48.60852,Meia Praia,Brasil,Santa Catarina,Itapema,2024-10-07 19:50:05.249,0.282027389712893,265,1208,Meia Praia (beach band)
30117708,-27.1255,-48.60572,Meia Praia,Brasil,Santa Catarina,Itapema,2024-10-07 19:49:39.872,0.25524769969068994,424,1616,Meia Praia (beach band)
1127012795040580227,-27.13513946533203,-48.6001091003418,Meia Praia,Brasil,Santa Catarina,Itapema,2024-05-06 19:01:55.295,0.47840323608474855,298,1970,Meia Praia (inland)
41731457,-27.14423,-48.60151,Meia Praia,Brasil,Santa Catarina,Itapema,2021-10-25 14:40:16.352,0.8512637532548438,6,541,Meia Praia (inland)
21103807,-27.13463,-48.59678,Meia Praia,Brasil,Santa Catarina,Itapema,2021-10-25 14:40:16.352,0.18915809377658205,388,1828,Meia Praia (beach band)
1116064168031867528,-27.08799934387207,-48.6150016784668,Casa Branca,Brasil,Santa Catarina,Itapema,2024-04-08 19:00:57.929,0.7365419155155117,83,520,Casa Branca
1121120387558822074,-27.13911,-48.59552,Meia Praia,Brasil,Santa Catarina,Itapema,2024-09-30 19:01:18.325,0.4007020376084323,357,1515,Meia Praia (inland)
1120353092365123845,-27.12633,-48.60565,Meia Praia,Brasil,Santa Catarina,Itapema,2024-10-07 19:47:24.034,0.3011680686337538,400,1667,Meia Praia (beach band)
1020352360748829864,-27.1056,-48.61302,Centro,Brasil,Santa Catarina,Itapema,2024-10-07 19:32:38.720,0.015342824526669574,85,443,Centro
1153552657765472365,-27.099814589199163,-48.61619541223374,Centro,Brasil,Santa Catarina,Itapema,2024-08-19 19:12:59.753,0.309244798690474,163,738,Centro
1154503921019083216,-27.12745,-48.60524,Meia Praia,Brasil,Santa Catarina,Itapema,2024-10-07 19:47:24.034,0.34463661434280274,386,1729,Meia Praia (beach band)
1148360450191371304,-27.1289005279541,-48.603736877441406,Meia Praia,Brasil,Santa Catarina,Itapema,2024-05-20 19:01:43.671,0.3293172483175861,427,1831,Meia Praia (beach band)
1153593997091090463,-27.133798599243164,-48.598392486572266,Meia Praia,Brasil,Santa Catarina,Itapema,2024-05-20 19:01:43.129,0.2523212317682925,439,1986,Meia Praia (beach band)
47782979,-27.090856552124023,-48.60811614990234,Canto da Praia,Brasil,Santa Catarina,Itapema,2024-05-20 19:02:00.313,0.08296769119011399,34,484,Canto da Praia
1101585118067937280,-27.13999938964844,-48.59700012207031,Meia Praia,Brasil,Santa Catarina,Itapema,2024-03-18 19:02:26.457,0.577300090383782,243,1467,Meia Praia (inland)
1045077329214831775,-27.12212,-48.61756,Morretes,Brasil,Santa Catarina,Itapema,2024-10-07 19:50:10.873,1.1322431398092712,44,500,Morretes
1040596323630843856,-27.11899948120117,-48.61100006103516,Morretes,Brasil,Santa Catarina,Itapema,2023-12-18 19:02:12.184,0.396136952267799,196,930,Morretes
1093543433835743780,-27.14102,-48.59885,Meia Praia,Brasil,Santa Catarina,Itapema,2024-10-07 19:26:36.077,0.7920223774605543,111,1297,Meia Praia (inland)
1088251024341369589,-27.11899948120117,-48.61000061035156,Morretes,Brasil,Santa Catarina,Itapema,2024-02-26 19:01:37.291,0.3067118892498053,224,974,Morretes
1083301106167776779,-27.11899948120117,-48.61000061035156,Morretes,Brasil,Santa Catarina,Itapema,2024-02-26 19:02:37.705,0.3067118892498053,224,974,Morretes
1020942153159227291,-27.13599967956543,-48.5989990234375,Meia Praia,Brasil,Santa Catarina,Itapema,2023-12-04 19:01:38.991,0.4555934043594409,337,1874,Meia Praia (inland)
1031148728972114643,-27.1299991607666,-48.59999847412109,Meia Praia,Brasil,Santa Catarina,Itapema,2023-12-04 19:01:46.975,0.09920556235050584,407,1899,Meia Praia (beach band)
34866449,-27.14122,-48.59192,Meia Praia,Brasil,Santa Catarina,Itapema,2024-10-07 19:32:32.826,0.19858312167506134,212,1112,Meia Praia (beach band)
733514433976812864,-27.13183,-48.59939,Meia Praia,Brasil,Santa Catarina,Itapema,2022-11-08 18:24:34.000,0.1800917461455199,440,1981,Meia Praia (beach band)
41051267,-27.13813,-48.59162,Meia Praia,Brasil,Santa Catarina,Itapema,2024-10-07 19:23:34.680,0.016301041496659424,240,1320,Meia Praia (beach band)
23390752,-27.10788,-48.61457,Tabuleiro dos Oliveiras,Brasil,Santa Catarina,Itapema,2021-10-25 14:40:16.352,0.21217991310983217,82,428,Tabuleiro dos Oliveiras
31308297,-27.09095,-48.62106,Casa Branca,Brasil,Santa Catarina,Itapema,2024-10-07 19:23:09.398,1.0219509110208425,17,523,Casa Branca
46011731,-27.12366,-48.60651,Meia Praia,Brasil,Santa Catarina,Itapema,2021-10-25 14:40:16.352,0.20561570539062105,352,1498,Meia Praia (beach band)
31380471,-27.12558,-48.60579,Meia Praia,Brasil,Santa Catarina,Itapema,2024-10-07 19:33:08.671,0.2660328306931253,417,1622,Meia Praia (beach band)
41686810,-27.1271,-48.60526,Meia Praia,Brasil,Santa Catarina,Itapema,2024-10-07 19:49:39.872,0.32186106784920926,385,1699,Meia Praia (beach band)
48169521,-27.12482,-48.604,Meia Praia,Brasil,Santa Catarina,Itapema,2024-10-07 19:41:46.975,0.0720569951320196,292,1586,Meia Praia (beach band)
21383448,-27.12059,-48.6082,Meia Praia,Brasil,Santa Catarina,Itapema,2021-10-25 14:40:16.352,0.22505033972146146,257,1164,Meia Praia (beach band)
24404503,-27.11635,-48.60769,Meia Praia,Brasil,Santa Catarina,Itapema,2024-10-07 19:41:33.468,0.01340810209708388,87,762,Meia Praia (beach band)
25918412,-27.12254,-48.60642,Meia Praia,Brasil,Santa Catarina,Itapema,2021-10-25 14:40:16.352,0.14314413400510706,330,1395,Meia Praia (beach band)
28029195,-27.12169,-48.60843,Meia Praia,Brasil,Santa Catarina,Itapema,2024-10-07 19:23:38.925,0.2934175480473301,285,1264,Meia Praia (beach band)
32270068,-27.12189,-48.60489,Meia Praia,Brasil,Santa Catarina,Itapema,2024-10-07 19:49:39.872,0.024925579484518907,208,1322,Meia Praia (beach band)
37804764,-27.12145,-48.60781,Meia Praia,Brasil,Santa Catarina,Itapema,2024-10-07 19:23:38.925,0.22660659922823947,298,1250,Meia Praia (beach band)
39316910,-27.12098,-48.6058,Meia Praia,Brasil,Santa Catarina,Itapema,2025-02-17 19:05:52.074,0.02447615466117286,230,1216,Meia Praia (beach band)
42832318,-27.11691,-48.61393,Morretes,Brasil,Santa Catarina,Itapema,2021-10-25 14:40:16.352,0.5908594226397258,109,659,Morretes
53340772,-27.1317806244,-48.5987701416,Meia Praia,Brasil,Santa Catarina,Itapema,2023-06-26 19:09:47.000,0.1304442528318554,412,1966,Meia Praia (beach band)
52585644,-27.13666,-48.59801,Meia Praia,Brasil,Santa Catarina,Itapema,2022-01-11 19:06:34.950,0.42710456143882297,369,1796,Meia Praia (inland)
53043874,-27.123512,-48.607018,Meia Praia,Brasil,Santa Catarina,Itapema,2022-01-11 19:12:10.988,0.24102576098732045,341,1477,Meia Praia (beach band)
53738511,-27.14046,-48.59394,Meia Praia,Brasil,Santa Catarina,Itapema,2022-01-11 19:12:10.988,0.3329842267436226,315,1305,Meia Praia (beach band)
1062531273496862060,-27.11892235393654,-48.610703609883785,Morretes,Brasil,Santa Catarina,Itapema,2024-09-02 19:01:19.399,0.365768052151932,206,932,Morretes
1232881616131790997,-27.13505,-48.59823,Meia Praia,Brasil,Santa Catarina,Itapema,2024-10-07 20:14:06.822,0.3294831261058625,412,1894,Meia Praia (beach band)
1225979956577609938,-27.14074896837023,-48.59380866028928,Meia Praia,Brasil,Santa Catarina,Itapema,2024-09-02 19:01:19.828,0.335261961112989,281,1275,Meia Praia (beach band)
1030481451149804053,-27.13357925415039,-48.598777770996094,Meia Praia,Brasil,Santa Catarina,Itapema,2023-12-04 19:02:02.893,0.2642037088981824,447,1996,Meia Praia (beach band)
22428497,-27.14021,-48.59486,Meia Praia,Brasil,Santa Catarina,Itapema,2024-10-07 19:32:48.890,0.4029316269697066,296,1373,Meia Praia (inland)
1046481075180202571,-27.12700080871582,-48.60699844360352,Meia Praia,Brasil,Santa Catarina,Itapema,2024-01-01 19:01:26.178,0.45382154172556516,310,1657,Meia Praia (inland)
1047076421918890039,-27.12700080871582,-48.604000091552734,Meia Praia,Brasil,Santa Catarina,Itapema,2024-01-01 19:00:57.331,0.21729964865061133,387,1738,Meia Praia (beach band)
41658086,-27.13219,-48.60826,Meia Praia,Brasil,Santa Catarina,Itapema,2021-10-25 14:40:16.352,0.9080965238247446,88,1458,Meia Praia (inland)
41227471,-27.13434,-48.59926,Meia Praia,Brasil,Santa Catarina,Itapema,2021-10-25 14:40:16.352,0.356224059558034,413,1998,Meia Praia (inland)
27867004,-27.100616,-48.614845,Centro,Brasil,Santa Catarina,Itapema,2021-10-25 14:40:16.352,0.17750137311578007,182,722,Centro
27873929,-27.09578,-48.61393,Centro,Brasil,Santa Catarina,Itapema,2021-10-25 14:40:16.352,0.15617731822128003,218,774,Centro
42840664,-27.09818,-48.61519,Centro,Brasil,Santa Catarina,Itapema,2021-10-25 14:40:16.352,0.20961752438578854,177,743,Centro
46990438,-27.0944309235,-48.6145896912,Centro,Brasil,Santa Catarina,Itapema,2023-06-26 19:06:17.000,0.27761600677519954,249,747,Centro
47068610,-27.10461,-48.61428,Centro,Brasil,Santa Catarina,Itapema,2024-10-07 20:01:59.781,0.12807972547031513,128,477,Centro
791866491124143496,-27.1200008392334,-48.61100006103516,Morretes,Brasil,Santa Catarina,Itapema,2023-03-02 13:02:00.000,0.4447992411428541,186,1019,Morretes
813637154637076778,-27.09256,-48.65141,Areal,Brasil,Santa Catarina,Itapema,2024-10-07 19:16:39.610,3.8401593770235194,2,6,Areal
823312522991742278,-27.13277053833008,-48.6054916381836,Meia Praia,Brasil,Santa Catarina,Itapema,2023-03-02 13:02:00.000,0.7215267069159427,167,1763,Meia Praia (inland)
31381073,-27.1304893494,-48.6007385254,Meia Praia,Brasil,Santa Catarina,Itapema,2023-06-26 19:10:56.000,0.1900601097948186,451,1925,Meia Praia (beach band)
22612962,-27.14282,-48.58731,Meia Praia,Brasil,Santa Catarina,Itapema,2021-10-25 14:40:16.352,0.05208422355893619,135,623,Meia Praia (beach band)
